Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
,BANK OF AMERICA TRUST CO.,COMMERCIAL BANK,STATE,"PITTSBURGH, PA",4/19/1934 ,FDIC,,PAYOUT,1064,1435,
,FON DU LAC STATE BANK,COMMERCIAL BANK,STATE,"EAST PEORIA, IL",5/28/1934 ,FDIC,,PAYOUT,238,374,
,FIRST NATIONAL BANK OF LIMA,COMMERCIAL BANK,FEDERAL,"LIMA, MT",7/18/1934 ,FDIC,,PAYOUT,42,91,
,FLORENCE DEPOSIT BANK,COMMERCIAL BANK,STATE,"FLORENCE, IN",7/18/1934 ,FDIC,,PAYOUT,69,105,
,BANK OF LEWISPORT,COMMERCIAL BANK,STATE,"LEWISPORT, KY",8/6/1934 ,FDIC,,PAYOUT,68,81,
,FARMERS STATE BANK OF BONGARDS,COMMERCIAL BANK,STATE,"BONGARDS, MN",9/13/1934 ,FDIC,,PAYOUT,73,91,
,FARMERS & TRADERS BANK,COMMERCIAL BANK,STATE,"PORTERFIELD, WI",10/11/1934 ,FDIC,,PAYOUT,32,46,
,PICKENS COUNTY BANK,COMMERCIAL BANK,STATE,"JASPER, GA",10/13/1934 ,FDIC,,PAYOUT,210,243,
,THE STATE BANK,COMMERCIAL BANK,STATE,"SAUK CITY, WI",11/16/1934 ,FDIC,,PAYOUT,170,195,
,CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,"GRANTWOOD, NJ",1/3/1935 ,FDIC,,PAYOUT,590,2305,
,THE NATIONAL BANK OF HERNDON,COMMERCIAL BANK,FEDERAL,"HERNDON, VA",1/9/1935 ,FDIC,,PAYOUT,384,387,
,PALMETTO STATE BANK,COMMERCIAL BANK,STATE,"LAKE CITY, SC",3/9/1935 ,FDIC,,PAYOUT,136,149,
,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,"CHEYENNE, OK",3/25/1935 ,FDIC,,PAYOUT,303,427,
,GUARANTY STATE BANK,COMMERCIAL BANK,STATE,"CLINTON, OK",4/4/1935 ,FDIC,,PAYOUT,176,264,
,THE STATE BANK OF MILFORD,COMMERCIAL BANK,STATE,"MILFORD, KS",4/10/1935 ,FDIC,,PAYOUT,87,118,
,THE FARMERS BANK,COMMERCIAL BANK,STATE,"ROYSTON, GA",5/2/1935 ,FDIC,,PAYOUT,108,166,
