Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,3.36538457870483
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,9.61538505554199
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.952380955219269
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,7.21153831481934
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,3.8461537361145
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,21.1822662353516
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,41.3461532592773
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,52.4038467407227
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,55.238094329834
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,60.5769233703613
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,39.4230766296387
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,51.7241363525391
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,27.4038467407227
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,35.0961532592773
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,11.4285717010498
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.0961542129517
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,19.230770111084
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,23.645320892334
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,87.5
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,72.1153869628906
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,92.8571395874023
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,58.6538467407227
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,87.9807662963867
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,..
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,87.5
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,97.5961532592773
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,97.1428604125977
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,78.3653869628906
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,90.8653869628906
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,87.6847305297852
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,5.76923084259033
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.4615383148193
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,31.9047622680664
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,13.4615383148193
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,13.4615383148193
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,16.7487678527832
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,75
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,64.4230804443359
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,87.6190490722656
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,65.3846130371094
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,69.711540222168
Antigua and Barbuda,ATG,Voice and Accountability: Percentile Rank,VA.PER.RNK,68.4729080200195
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,46.1538467407227
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,60.5769233703613
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,53.8095245361328
Argentina,ARG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,33.6538467407227
Argentina,ARG,Rule of Law: Percentile Rank,RL.PER.RNK,39.9038467407227
Argentina,ARG,Voice and Accountability: Percentile Rank,VA.PER.RNK,65.5172424316406
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,32.6923065185547
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,49.519229888916
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,24.761905670166
Armenia,ARM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,62.980770111084
Armenia,ARM,Rule of Law: Percentile Rank,RL.PER.RNK,50.480770111084
Armenia,ARM,Voice and Accountability: Percentile Rank,VA.PER.RNK,30.5418720245361
Aruba,ABW,Control of Corruption: Percentile Rank,CC.PER.RNK,88.9423065185547
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,76.9230804443359
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,94.2857131958008
Aruba,ABW,Regulatory Quality: Percentile Rank,RQ.PER.RNK,88.9423065185547
Aruba,ABW,Rule of Law: Percentile Rank,RL.PER.RNK,87.0192337036133
Aruba,ABW,Voice and Accountability: Percentile Rank,VA.PER.RNK,92.61083984375
Australia,AUS,Control of Corruption: Percentile Rank,CC.PER.RNK,93.2692337036133
Australia,AUS,Government Effectiveness: Percentile Rank,GE.PER.RNK,92.3076934814453
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,81.9047622680664
Australia,AUS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,97.5961532592773
Australia,AUS,Rule of Law: Percentile Rank,RL.PER.RNK,95.1923065185547
Australia,AUS,Voice and Accountability: Percentile Rank,VA.PER.RNK,94.0886688232422
Austria,AUT,Control of Corruption: Percentile Rank,CC.PER.RNK,91.3461532592773
Austria,AUT,Government Effectiveness: Percentile Rank,GE.PER.RNK,91.8269195556641
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,72.8571395874023
Austria,AUT,Regulatory Quality: Percentile Rank,RQ.PER.RNK,91.3461532592773
Austria,AUT,Rule of Law: Percentile Rank,RL.PER.RNK,95.6730804443359
Austria,AUT,Voice and Accountability: Percentile Rank,VA.PER.RNK,93.1034469604492
Azerbaijan,AZE,Control of Corruption: Percentile Rank,CC.PER.RNK,17.7884616851807
Azerbaijan,AZE,Government Effectiveness: Percentile Rank,GE.PER.RNK,49.038459777832
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,17.619047164917
Azerbaijan,AZE,Regulatory Quality: Percentile Rank,RQ.PER.RNK,43.75
Azerbaijan,AZE,Rule of Law: Percentile Rank,RL.PER.RNK,31.730770111084
